tier,wave_number,slot,wcid
mid,9,4,300101071
mid,9,5,300101071
mid,9,6,300101071
mid,9,7,300101071
mid,9,8,300101071
mid,9,9,300101071
mid,9,10,300101071
mid,10,1,300101071
mid,10,2,300101071
mid,10,3,300101071
mid,10,4,300101071
mid,10,5,300101071
mid,10,6,300101071
mid,10,7,300101071
mid,10,8,300101071
mid,10,9,300101071
mid,10,10,300101071
mid,boss,1,300101071
mid,boss,2,300101071
mid,boss,3,300101071
mid,boss,4,300101071
mid,boss,5,300101071
mid,boss,6,300101071
mid,boss,7,300101071
mid,boss,8,300101071
mid,boss,9,300101071
mid,boss,10,300101071
high,1,1,300101071
high,1,2,300101071
high,1,3,300101071
high,1,4,300101071
high,1,5,300101071
high,1,6,300101071
high,1,7,300101071
high,1,8,300101071
high,1,9,300101071
high,1,10,300101071
high,2,1,300101071
high,2,2,300101071
high,2,3,300101071
high,2,4,300101071
high,2,5,300101071
high,2,6,300101071
high,2,7,300101071
high,2,8,300101071
high,2,9,300101071
high,2,10,300101071
high,3,1,300101071
high,3,2,300101071
high,3,3,300101071
high,3,4,300101071
high,3,5,300101071
high,3,6,300101071
high,3,7,300101071
high,3,8,300101071
high,3,9,300101071
high,3,10,300101071
high,4,1,300101071
high,4,2,300101071
high,4,3,300101071
high,4,4,300101071
high,4,5,300101071
high,4,6,300101071
high,4,7,300101071
high,4,8,300101071
high,4,9,300101071
high,4,10,300101071
high,5,1,300101071
high,5,2,300101071
high,5,3,300101071
high,5,4,300101071
high,5,5,300101071
high,5,6,300101071
high,5,7,300101071
high,5,8,300101071
high,5,9,300101071
high,5,10,300101071
high,6,1,300101071
high,6,2,300101071
high,6,3,300101071
high,6,4,300101071
high,6,5,300101071
high,6,6,300101071
high,6,7,300101071
high,6,8,300101071
high,6,9,300101071
high,6,10,300101071
high,7,1,300101071
high,7,2,300101071
high,7,3,300101071
high,7,4,300101071
high,7,5,300101071
high,7,6,300101071
high,7,7,300101071
high,7,8,300101071
high,7,9,300101071
high,7,10,300101071
high,8,1,300101071
high,8,2,300101071
high,8,3,300101071
high,8,4,300101071
high,8,5,300101071
high,8,6,300101071
high,8,7,300101071
high,8,8,300101071
high,8,9,300101071
high,8,10,300101071
high,9,1,300101071
high,9,2,300101071
high,9,3,300101071
high,9,4,300101071
high,9,5,300101071
high,9,6,300101071
high,9,7,300101071
high,9,8,300101071
high,9,9,300101071
high,9,10,300101071
high,10,1,300101071
high,10,2,300101071
high,10,3,300101071
high,10,4,300101071
high,10,5,300101071
high,10,6,300101071
high,10,7,300101071
high,10,8,300101071
high,10,9,300101071
high,10,10,300101071
high,boss,1,300101071
high,boss,2,300101071
high,boss,3,300101071
high,boss,4,300101071
high,boss,5,300101071
high,boss,6,300101071
high,boss,7,300101071
high,boss,8,300101071
high,boss,9,300101071
high,boss,10,300101071
