tier,wave_number,slot,wcid
mid,9,4,400101084
mid,9,5,400101084
mid,9,6,400101085
mid,9,7,400101085
mid,9,8,400101085
mid,9,9,400101085
mid,9,10,400101085
mid,10,1,400101086
mid,10,2,400101086
mid,10,3,400101086
mid,10,4,400101086
mid,10,5,400101086
mid,10,6,400101086
mid,10,7,400101086
mid,10,8,400101086
mid,10,9,400101086
mid,10,10,400101086
mid,boss,1,400101095
mid,boss,2,400101095
mid,boss,3,400101095
mid,boss,4,400101096
mid,boss,5,400101096
mid,boss,6,400101096
mid,boss,7,400101097
mid,boss,8,400101097
mid,boss,9,400101098
mid,boss,10,400101098
high,1,1,500101071
high,1,2,500101071
high,1,3,500101071
high,1,4,500101072
high,1,5,500101072
high,1,6,500101072
high,1,7,500101073
high,1,8,500101073
high,1,9,500101073
high,1,10,500101074
high,2,1,500101075
high,2,2,500101075
high,2,3,500101075
high,2,4,500101075
high,2,5,500101075
high,2,6,500101075
high,2,7,500101075
high,2,8,500101075
high,2,9,500101075
high,2,10,500101075
high,3,1,500101076
high,3,2,500101076
high,3,3,500101076
high,3,4,500101076
high,3,5,500101077
high,3,6,500101077
high,3,7,500101077
high,3,8,500101077
high,3,9,500101078
high,3,10,500101078
high,4,1,500101079
high,4,2,500101079
high,4,3,500101079
high,4,4,500101079
high,4,5,500101079
high,4,6,500101079
high,4,7,500101079
high,4,8,500101079
high,4,9,500101079
high,4,10,500101079
high,5,1,500101080
high,5,2,500101080
high,5,3,500101080
high,5,4,500101080
high,5,5,500101081
high,5,6,500101081
high,5,7,500101081
high,5,8,500101081
high,5,9,500101082
high,5,10,500101082
high,6,1,500101083
high,6,2,500101083
high,6,3,500101083
high,6,4,500101083
high,6,5,500101083
high,6,6,500101083
high,6,7,500101083
high,6,8,500101083
high,6,9,500101083
high,6,10,500101083
high,7,1,500101084
high,7,2,500101084
high,7,3,500101084
high,7,4,500101084
high,7,5,500101085
high,7,6,500101085
high,7,7,500101085
high,7,8,500101085
high,7,9,500101086
high,7,10,500101086
high,8,1,500101087
high,8,2,500101087
high,8,3,500101087
high,8,4,500101087
high,8,5,500101087
high,8,6,500101087
high,8,7,500101087
high,8,8,500101087
high,8,9,500101087
high,8,10,500101087
high,9,1,500101088
high,9,2,500101088
high,9,3,500101088
high,9,4,500101088
high,9,5,500101089
high,9,6,500101089
high,9,7,500101089
high,9,8,500101089
high,9,9,500101090
high,9,10,500101090
high,10,1,500101091
high,10,2,500101091
high,10,3,500101091
high,10,4,500101091
high,10,5,500101091
high,10,6,500101091
high,10,7,500101091
high,10,8,500101091
high,10,9,500101091
high,10,10,500101091
high,boss,1,500101099
high,boss,2,500101099
high,boss,3,500101099
high,boss,4,500101100
high,boss,5,500101100
high,boss,6,500101101
high,boss,7,500101101
high,boss,8,500101102
high,boss,9,500101102
high,boss,10,500101103
